"file","action","title","category","renderedChars","renderedWords","steps","sources","uniqueSourceHosts","issues"
"ac-heating-lg-air-conditioner-does-not-heat.mdx","keep","LG air conditioner: не греет","Кондиционеры и обогрев","3528","455","6","4","3",""
"ac-heating-lg-air-conditioner-error-code.mdx","keep","LG air conditioner: показывает код ошибки","Кондиционеры и обогрев","3573","459","6","4","3",""
"ac-heating-lg-air-conditioner-leaks-water.mdx","keep","LG air conditioner: протекает","Кондиционеры и обогрев","3543","450","6","4","3",""
"ac-heating-lg-air-conditioner-makes-noise.mdx","keep","LG air conditioner: шумит или вибрирует","Кондиционеры и обогрев","3527","452","6","4","3",""
"ac-heating-lg-air-conditioner-stops-mid-cycle.mdx","keep","LG air conditioner: останавливается во время работы","Кондиционеры и обогрев","3613","462","6","4","3",""
"ac-heating-lg-air-conditioner-wont-turn-on.mdx","keep","LG air conditioner: не включается","Кондиционеры и обогрев","3570","459","6","4","3",""
"ac-heating-lg-kondicioner-bad-smell.mdx","keep","LG кондиционер: появился запах при работе","Кондиционеры и обогрев","4118","530","6","4","4",""
"ac-heating-lg-kondicioner-does-not-start.mdx","keep","LG кондиционер: не запускается","Кондиционеры и обогрев","4113","531","6","4","4",""
"ac-heating-lg-kondicioner-error-code.mdx","keep","LG кондиционер: показывает код ошибки","Кондиционеры и обогрев","4110","530","6","4","4",""
"ac-heating-lg-kondicioner-leaks-water.mdx","keep","LG кондиционер: подтекает снизу или у двери","Кондиционеры и обогрев","4130","533","6","4","4",""
"ac-heating-lg-kondicioner-noise-vibration.mdx","keep","LG кондиционер: шумит или вибрирует сильнее обычного","Кондиционеры и обогрев","4123","531","6","4","4",""
"ac-heating-lg-kondicioner-stops-mid-cycle.mdx","keep","LG кондиционер: останавливается в середине цикла","Кондиционеры и обогрев","4124","530","6","4","4",""
"ac-heating-mitsubishi-electric-ac-bad-smell.mdx","keep","Mitsubishi Electric кондиционер: появился запах или гарь","Кондиционеры и обогрев","3614","456","6","4","4",""
"ac-heating-mitsubishi-electric-ac-does-not-drain.mdx","keep","Mitsubishi Electric кондиционер: не сливает воду","Кондиционеры и обогрев","3598","459","6","4","4",""
"ac-heating-mitsubishi-electric-ac-does-not-heat.mdx","keep","Mitsubishi Electric кондиционер: не греет","Кондиционеры и обогрев","3580","455","6","4","4",""
"ac-heating-mitsubishi-electric-ac-error-code.mdx","keep","Mitsubishi Electric кондиционер: показывает код ошибки","Кондиционеры и обогрев","3625","459","6","4","4",""
"ac-heating-mitsubishi-electric-ac-leaks-water.mdx","keep","Mitsubishi Electric кондиционер: протекает","Кондиционеры и обогрев","3595","450","6","4","4",""
"ac-heating-mitsubishi-electric-ac-makes-noise.mdx","keep","Mitsubishi Electric кондиционер: шумит или вибрирует","Кондиционеры и обогрев","3579","452","6","4","4",""
"ac-heating-mitsubishi-electric-ac-stops-mid-cycle.mdx","keep","Mitsubishi Electric кондиционер: останавливается во время работы","Кондиционеры и обогрев","3665","462","6","4","4",""
"ac-heating-mitsubishi-electric-ac-wont-turn-on.mdx","keep","Mitsubishi Electric кондиционер: не включается","Кондиционеры и обогрев","3622","459","6","4","4",""
"ac-heating-mitsubishi-kondicioner-bad-smell.mdx","keep","Mitsubishi кондиционер: появился запах при работе","Кондиционеры и обогрев","4158","530","6","4","4",""
"ac-heating-mitsubishi-kondicioner-does-not-start.mdx","keep","Mitsubishi кондиционер: не запускается","Кондиционеры и обогрев","4153","531","6","4","4",""
"ac-heating-mitsubishi-kondicioner-error-code.mdx","keep","Mitsubishi кондиционер: показывает код ошибки","Кондиционеры и обогрев","4150","530","6","4","4",""
"ac-heating-mitsubishi-kondicioner-leaks-water.mdx","keep","Mitsubishi кондиционер: подтекает снизу или у двери","Кондиционеры и обогрев","4170","533","6","4","4",""
"ac-heating-mitsubishi-kondicioner-noise-vibration.mdx","keep","Mitsubishi кондиционер: шумит или вибрирует сильнее обычного","Кондиционеры и обогрев","4163","531","6","4","4",""
"ac-heating-mitsubishi-kondicioner-stops-mid-cycle.mdx","keep","Mitsubishi кондиционер: останавливается в середине цикла","Кондиционеры и обогрев","4164","530","6","4","4",""
"ac-heating-mobilnyy-kondicioner-bad-smell.mdx","keep","мобильный кондиционер: появился запах при работе","Кондиционеры и обогрев","4153","530","6","3","3",""
"ac-heating-mobilnyy-kondicioner-does-not-start.mdx","keep","мобильный кондиционер: не запускается","Кондиционеры и обогрев","4148","531","6","3","3",""
"ac-heating-mobilnyy-kondicioner-error-code.mdx","keep","мобильный кондиционер: показывает код ошибки","Кондиционеры и обогрев","4145","530","6","3","3",""
"ac-heating-mobilnyy-kondicioner-leaks-water.mdx","keep","мобильный кондиционер: подтекает снизу или у двери","Кондиционеры и обогрев","4165","533","6","3","3",""
"ac-heating-mobilnyy-kondicioner-noise-vibration.mdx","keep","мобильный кондиционер: шумит или вибрирует сильнее обычного","Кондиционеры и обогрев","4158","531","6","3","3",""
"ac-heating-mobilnyy-kondicioner-stops-mid-cycle.mdx","keep","мобильный кондиционер: останавливается в середине цикла","Кондиционеры и обогрев","4159","530","6","3","3",""
"ac-heating-naruzhnyy-blok-kondicionera-bad-smell.mdx","keep","наружный блок кондиционера: появился запах при работе","Кондиционеры и обогрев","4178","535","6","3","3",""
"ac-heating-naruzhnyy-blok-kondicionera-does-not-start.mdx","keep","наружный блок кондиционера: не запускается","Кондиционеры и обогрев","4173","536","6","3","3",""
"ac-heating-naruzhnyy-blok-kondicionera-leaks-water.mdx","keep","наружный блок кондиционера: подтекает снизу или у двери","Кондиционеры и обогрев","4190","538","6","3","3",""
"ac-heating-naruzhnyy-blok-kondicionera-noise-vibration.mdx","keep","наружный блок кондиционера: шумит или вибрирует сильнее обычного","Кондиционеры и обогрев","4183","536","6","3","3",""
"ac-heating-naruzhnyy-blok-kondicionera-stops-mid-cycle.mdx","keep","наружный блок кондиционера: останавливается в середине цикла","Кондиционеры и обогрев","4184","535","6","3","3",""
"ac-heating-samsung-air-conditioner-error-code.mdx","keep","Samsung air conditioner: показывает код ошибки","Кондиционеры и обогрев","3593","459","6","4","4",""
"ac-heating-samsung-air-conditioner-leaks-water.mdx","keep","Samsung air conditioner: протекает","Кондиционеры и обогрев","3563","450","6","4","4",""
"ac-heating-samsung-air-conditioner-makes-noise.mdx","keep","Samsung air conditioner: шумит или вибрирует","Кондиционеры и обогрев","3547","452","6","4","4",""
"ac-heating-samsung-air-conditioner-stops-mid-cycle.mdx","keep","Samsung air conditioner: останавливается во время работы","Кондиционеры и обогрев","3633","462","6","4","4",""
"ac-heating-samsung-air-conditioner-wont-turn-on.mdx","keep","Samsung air conditioner: не включается","Кондиционеры и обогрев","3590","459","6","4","4",""
"ac-heating-samsung-kondicioner-bad-smell.mdx","keep","Samsung кондиционер: появился запах при работе","Кондиционеры и обогрев","4143","530","6","4","4",""
"ac-heating-samsung-kondicioner-does-not-start.mdx","keep","Samsung кондиционер: не запускается","Кондиционеры и обогрев","4138","531","6","4","4",""
"ac-heating-samsung-kondicioner-error-code.mdx","keep","Samsung кондиционер: показывает код ошибки","Кондиционеры и обогрев","4135","530","6","4","4",""
"ac-heating-samsung-kondicioner-leaks-water.mdx","keep","Samsung кондиционер: подтекает снизу или у двери","Кондиционеры и обогрев","4155","533","6","4","4",""
"ac-heating-samsung-kondicioner-noise-vibration.mdx","keep","Samsung кондиционер: шумит или вибрирует сильнее обычного","Кондиционеры и обогрев","4148","531","6","4","4",""
"ac-heating-samsung-kondicioner-stops-mid-cycle.mdx","keep","Samsung кондиционер: останавливается в середине цикла","Кондиционеры и обогрев","4149","530","6","4","4",""
"ac-heating-split-sistema-bad-smell.mdx","keep","сплит-система: появился запах при работе","Кондиционеры и обогрев","4113","525","6","3","3",""
"ac-heating-split-sistema-does-not-start.mdx","keep","сплит-система: не запускается","Кондиционеры и обогрев","4108","526","6","3","3",""
"ac-heating-split-sistema-error-code.mdx","keep","сплит-система: показывает код ошибки","Кондиционеры и обогрев","4105","525","6","3","3",""
"ac-heating-split-sistema-leaks-water.mdx","keep","сплит-система: подтекает снизу или у двери","Кондиционеры и обогрев","4125","528","6","3","3",""
"ac-heating-split-sistema-noise-vibration.mdx","keep","сплит-система: шумит или вибрирует сильнее обычного","Кондиционеры и обогрев","4118","526","6","3","3",""
"ac-heating-split-sistema-stops-mid-cycle.mdx","keep","сплит-система: останавливается в середине цикла","Кондиционеры и обогрев","4119","525","6","3","3",""
"ac-heating-teplovoy-nasos-bad-smell.mdx","keep","тепловой насос: появился запах при работе","Кондиционеры и обогрев","4118","530","6","3","3",""
"ac-heating-teplovoy-nasos-does-not-start.mdx","keep","тепловой насос: не запускается","Кондиционеры и обогрев","4113","531","6","3","3",""
"ac-heating-teplovoy-nasos-error-code.mdx","keep","тепловой насос: показывает код ошибки","Кондиционеры и обогрев","4110","530","6","3","3",""
"ac-heating-teplovoy-nasos-leaks-water.mdx","keep","тепловой насос: подтекает снизу или у двери","Кондиционеры и обогрев","4130","533","6","3","3",""
"ac-heating-teplovoy-nasos-noise-vibration.mdx","keep","тепловой насос: шумит или вибрирует сильнее обычного","Кондиционеры и обогрев","4123","531","6","3","3",""
"ac-heating-teplovoy-nasos-stops-mid-cycle.mdx","keep","тепловой насос: останавливается в середине цикла","Кондиционеры и обогрев","4124","530","6","3","3",""
"ac-heating-termostat-otopleniya-bad-smell.mdx","keep","термостат отопления: появился запах при работе","Кондиционеры и обогрев","4143","530","6","3","3",""
"ac-heating-termostat-otopleniya-does-not-start.mdx","keep","термостат отопления: не запускается","Кондиционеры и обогрев","4138","531","6","3","3",""
"ac-heating-termostat-otopleniya-error-code.mdx","keep","термостат отопления: показывает код ошибки","Кондиционеры и обогрев","4135","530","6","3","3",""
"ac-heating-termostat-otopleniya-leaks-water.mdx","keep","термостат отопления: подтекает снизу или у двери","Кондиционеры и обогрев","4155","533","6","3","3",""
"ac-heating-termostat-otopleniya-noise-vibration.mdx","keep","термостат отопления: шумит или вибрирует сильнее обычного","Кондиционеры и обогрев","4148","531","6","3","3",""
"ac-heating-termostat-otopleniya-stops-mid-cycle.mdx","keep","термостат отопления: останавливается в середине цикла","Кондиционеры и обогрев","4149","530","6","3","3",""
"android-bystro-razryazhaetsya-batareya.mdx","keep","Android: быстро разряжается батарея — как исправить","Мобильные устройства","3924","492","6","4","3",""
"android-ne-prihodyat-uvedomleniya.mdx","keep","Android: не приходят уведомления — как исправить","Мобильные устройства","3921","492","6","4","3",""
"android-ne-rabotaet-kamera.mdx","keep","Android: не работает камера — как исправить","Мобильные устройства","3916","492","6","4","3",""
"android-ne-rabotaet-sinhronizatsiya.mdx","keep","Android: не работает синхронизация — как исправить","Мобильные устройства","3923","492","6","4","3",""
"android-ne-ustanavlivaetsya-prilozhenie.mdx","keep","Android: не устанавливается приложение — как исправить","Мобильные устройства","3927","492","6","4","3",""
"android-oshibka-avtorizatsii.mdx","keep","Android: ошибка авторизации — как исправить","Мобильные устройства","3916","491","6","4","3",""
"android-zavisaet-obnovlenie.mdx","keep","Android: зависает обновление — как исправить","Мобильные устройства","3917","491","6","4","3",""
"audio-video-4k-monitor-access-denied.mdx","keep","4K монитор: показывает отказ в доступе","Аудио и видео","4144","541","6","3","3",""
"audio-video-4k-monitor-crash-on-open.mdx","keep","4K монитор: падает при открытии файла или проекта","Аудио и видео","4140","540","6","3","3",""
"audio-video-4k-monitor-does-not-start.mdx","keep","4K монитор: не запускается после обновления","Аудио и видео","4115","537","6","3","3",""
"audio-video-4k-monitor-settings-reset.mdx","keep","4K монитор: сбрасывает настройки после перезапуска","Аудио и видео","4146","536","6","3","3",""
"audio-video-4k-monitor-slow-response.mdx","keep","4K монитор: работает заметно медленнее обычного","Аудио и видео","4160","540","6","3","3",""
"audio-video-4k-monitor-update-loop.mdx","keep","4K монитор: застревает в цикле обновления","Аудио и видео","4158","542","6","3","3",""
"audio-video-bluetooth-headphones-disconnects-randomly.mdx","keep","Bluetooth Headphones: самопроизвольно отключается","Аудио и видео","4047","497","6","4","3",""
"audio-video-bluetooth-headphones-driver-error.mdx","keep","Bluetooth Headphones: ошибка драйвера","Аудио и видео","4088","506","6","4","3",""
"audio-video-bluetooth-headphones-firmware-update-failed.mdx","keep","Bluetooth Headphones: ошибка обновления прошивки","Аудио и видео","4077","508","6","4","3",""
"audio-video-bluetooth-headphones-low-performance.mdx","keep","Bluetooth Headphones: низкая производительность","Аудио и видео","4087","507","6","4","3",""
"audio-video-bluetooth-headphones-not-detected.mdx","keep","Bluetooth Headphones: не определяется системой","Аудио и видео","4051","512","6","4","3",""
"audio-video-bluetooth-naushniki-access-denied.mdx","keep","Bluetooth наушники: показывает отказ в доступе","Аудио и видео","4184","541","6","3","3",""
"audio-video-bluetooth-naushniki-crash-on-open.mdx","keep","Bluetooth наушники: падает при открытии файла или проекта","Аудио и видео","4180","540","6","3","3",""
"audio-video-bluetooth-naushniki-does-not-start.mdx","keep","Bluetooth наушники: не запускается после обновления","Аудио и видео","4155","537","6","3","3",""
"audio-video-bluetooth-naushniki-settings-reset.mdx","keep","Bluetooth наушники: сбрасывает настройки после перезапуска","Аудио и видео","4186","536","6","3","3",""
"audio-video-bluetooth-naushniki-slow-response.mdx","keep","Bluetooth наушники: работает заметно медленнее обычного","Аудио и видео","4200","540","6","3","3",""
"audio-video-bluetooth-naushniki-update-loop.mdx","keep","Bluetooth наушники: застревает в цикле обновления","Аудио и видео","4198","542","6","3","3",""
"audio-video-dinamiki-noutbuka-access-denied.mdx","keep","динамики ноутбука: показывает отказ в доступе","Аудио и видео","4179","541","6","3","3",""
"audio-video-dinamiki-noutbuka-crash-on-open.mdx","keep","динамики ноутбука: падает при открытии файла или проекта","Аудио и видео","4175","540","6","3","3",""
"audio-video-dinamiki-noutbuka-does-not-start.mdx","keep","динамики ноутбука: не запускается после обновления","Аудио и видео","4150","537","6","3","3",""
"audio-video-dinamiki-noutbuka-settings-reset.mdx","keep","динамики ноутбука: сбрасывает настройки после перезапуска","Аудио и видео","4181","536","6","3","3",""
"audio-video-dinamiki-noutbuka-slow-response.mdx","keep","динамики ноутбука: работает заметно медленнее обычного","Аудио и видео","4195","540","6","3","3",""
"audio-video-displayport-monitor-access-denied.mdx","keep","DisplayPort монитор: показывает отказ в доступе","Аудио и видео","4189","541","6","3","3",""
"audio-video-displayport-monitor-crash-on-open.mdx","keep","DisplayPort монитор: падает при открытии файла или проекта","Аудио и видео","4185","540","6","3","3",""
"audio-video-displayport-monitor-does-not-start.mdx","keep","DisplayPort монитор: не запускается после обновления","Аудио и видео","4160","537","6","3","3",""
"audio-video-displayport-monitor-settings-reset.mdx","keep","DisplayPort монитор: сбрасывает настройки после перезапуска","Аудио и видео","4191","536","6","3","3",""
"audio-video-displayport-monitor-slow-response.mdx","keep","DisplayPort монитор: работает заметно медленнее обычного","Аудио и видео","4205","540","6","3","3",""
"audio-video-displayport-monitor-update-loop.mdx","keep","DisplayPort монитор: застревает в цикле обновления","Аудио и видео","4203","542","6","3","3",""
"audio-video-hdmi-audio-disconnects-randomly.mdx","keep","HDMI Audio: самопроизвольно отключается","Аудио и видео","3977","497","6","4","3",""
"audio-video-hdmi-audio-driver-error.mdx","keep","HDMI Audio: ошибка драйвера","Аудио и видео","4018","506","6","4","3",""
"audio-video-hdmi-audio-firmware-update-failed.mdx","keep","HDMI Audio: ошибка обновления прошивки","Аудио и видео","4007","508","6","4","3",""
"audio-video-hdmi-audio-low-performance.mdx","keep","HDMI Audio: низкая производительность","Аудио и видео","4017","507","6","4","3",""
"audio-video-hdmi-audio-not-detected.mdx","keep","HDMI Audio: не определяется системой","Аудио и видео","3981","512","6","4","3",""
"audio-video-hdmi-zvuk-access-denied.mdx","keep","HDMI звук: показывает отказ в доступе","Аудио и видео","4139","541","6","3","3",""
"audio-video-hdmi-zvuk-crash-on-open.mdx","keep","HDMI звук: падает при открытии файла или проекта","Аудио и видео","4135","540","6","3","3",""
"audio-video-hdmi-zvuk-does-not-start.mdx","keep","HDMI звук: не запускается после обновления","Аудио и видео","4110","537","6","3","3",""
"audio-video-hdmi-zvuk-settings-reset.mdx","keep","HDMI звук: сбрасывает настройки после перезапуска","Аудио и видео","4141","536","6","3","3",""
"audio-video-hdmi-zvuk-slow-response.mdx","keep","HDMI звук: работает заметно медленнее обычного","Аудио и видео","4155","540","6","3","3",""
"audio-video-hdmi-zvuk-update-loop.mdx","keep","HDMI звук: застревает в цикле обновления","Аудио и видео","4153","542","6","3","3",""
"audio-video-kodek-video-access-denied.mdx","keep","кодек видео: показывает отказ в доступе","Аудио и видео","4149","541","6","3","3",""
"audio-video-kodek-video-crash-on-open.mdx","keep","кодек видео: падает при открытии файла или проекта","Аудио и видео","4145","540","6","3","3",""
"audio-video-kodek-video-does-not-start.mdx","keep","кодек видео: не запускается после обновления","Аудио и видео","4120","537","6","3","3",""
"audio-video-kodek-video-settings-reset.mdx","keep","кодек видео: сбрасывает настройки после перезапуска","Аудио и видео","4151","536","6","3","3",""
"audio-video-kodek-video-slow-response.mdx","keep","кодек видео: работает заметно медленнее обычного","Аудио и видео","4165","540","6","3","3",""
"audio-video-obs-studio-access-denied.mdx","keep","OBS Studio: показывает отказ в доступе","Аудио и видео","4144","541","6","3","3",""
"audio-video-obs-studio-crash-on-open.mdx","keep","OBS Studio: падает при открытии файла или проекта","Аудио и видео","4140","540","6","3","3",""
"audio-video-obs-studio-does-not-start.mdx","keep","OBS Studio: не запускается после обновления","Аудио и видео","4115","537","6","3","3",""
"audio-video-obs-studio-settings-reset.mdx","keep","OBS Studio: сбрасывает настройки после перезапуска","Аудио и видео","4146","536","6","3","3",""
"audio-video-obs-studio-slow-response.mdx","keep","OBS Studio: работает заметно медленнее обычного","Аудио и видео","4160","540","6","3","3",""
"audio-video-obs-studio-update-loop.mdx","keep","OBS Studio: застревает в цикле обновления","Аудио и видео","4158","542","6","3","3",""
"audio-video-proektor-access-denied.mdx","keep","проектор: показывает отказ в доступе","Аудио и видео","4134","536","6","3","3",""
"audio-video-proektor-crash-on-open.mdx","keep","проектор: падает при открытии файла или проекта","Аудио и видео","4130","535","6","3","3",""
"audio-video-proektor-does-not-start.mdx","keep","проектор: не запускается после обновления","Аудио и видео","4105","532","6","3","3",""
"audio-video-proektor-settings-reset.mdx","keep","проектор: сбрасывает настройки после перезапуска","Аудио и видео","4136","531","6","3","3",""
"audio-video-proektor-slow-response.mdx","keep","проектор: работает заметно медленнее обычного","Аудио и видео","4150","535","6","3","3",""
"audio-video-realtek-audio-disconnects-randomly.mdx","keep","Realtek Audio: самопроизвольно отключается","Аудио и видео","3998","497","6","4","3",""
"audio-video-realtek-audio-driver-error.mdx","keep","Realtek Audio: ошибка драйвера","Аудио и видео","4039","506","6","4","3",""
"audio-video-realtek-audio-firmware-update-failed.mdx","keep","Realtek Audio: ошибка обновления прошивки","Аудио и видео","4028","508","6","4","3",""
"audio-video-realtek-audio-low-performance.mdx","keep","Realtek Audio: низкая производительность","Аудио и видео","4038","507","6","4","3",""
"audio-video-realtek-audio-not-detected.mdx","keep","Realtek Audio: не определяется системой","Аудио и видео","4002","512","6","4","3",""
"audio-video-saundbar-cherez-hdmi-arc-access-denied.mdx","keep","саундбар через HDMI ARC: показывает отказ в доступе","Аудио и видео","4209","551","6","3","3",""
"audio-video-saundbar-cherez-hdmi-arc-crash-on-open.mdx","keep","саундбар через HDMI ARC: падает при открытии файла или проекта","Аудио и видео","4205","550","6","3","3",""
"audio-video-saundbar-cherez-hdmi-arc-does-not-start.mdx","keep","саундбар через HDMI ARC: не запускается после обновления","Аудио и видео","4180","547","6","3","3",""
"audio-video-saundbar-cherez-hdmi-arc-settings-reset.mdx","keep","саундбар через HDMI ARC: сбрасывает настройки после перезапуска","Аудио и видео","4211","546","6","3","3",""
"audio-video-saundbar-cherez-hdmi-arc-slow-response.mdx","keep","саундбар через HDMI ARC: работает заметно медленнее обычного","Аудио и видео","4225","550","6","3","3",""
"audio-video-saundbar-cherez-hdmi-arc-update-loop.mdx","keep","саундбар через HDMI ARC: застревает в цикле обновления","Аудио и видео","4223","552","6","3","3",""
"audio-video-usb-microphone-not-detected.mdx","keep","USB Microphone: не определяется системой","Аудио и видео","4009","512","6","4","3",""
"audio-video-usb-mikrofon-access-denied.mdx","keep","USB микрофон: показывает отказ в доступе","Аудио и видео","4154","541","6","3","3",""
"audio-video-usb-mikrofon-crash-on-open.mdx","keep","USB микрофон: падает при открытии файла или проекта","Аудио и видео","4150","540","6","3","3",""
"audio-video-usb-mikrofon-does-not-start.mdx","keep","USB микрофон: не запускается после обновления","Аудио и видео","4125","537","6","3","3",""
"audio-video-usb-mikrofon-settings-reset.mdx","keep","USB микрофон: сбрасывает настройки после перезапуска","Аудио и видео","4156","536","6","3","3",""
"audio-video-usb-mikrofon-slow-response.mdx","keep","USB микрофон: работает заметно медленнее обычного","Аудио и видео","4170","540","6","3","3",""
"audio-video-usb-mikrofon-update-loop.mdx","keep","USB микрофон: застревает в цикле обновления","Аудио и видео","4168","542","6","3","3",""
"audio-video-veb-kamera-access-denied.mdx","keep","веб-камера: показывает отказ в доступе","Аудио и видео","4144","536","6","3","3",""
"audio-video-veb-kamera-crash-on-open.mdx","keep","веб-камера: падает при открытии файла или проекта","Аудио и видео","4140","535","6","3","3",""
"audio-video-veb-kamera-does-not-start.mdx","keep","веб-камера: не запускается после обновления","Аудио и видео","4115","532","6","3","3",""
"audio-video-veb-kamera-settings-reset.mdx","keep","веб-камера: сбрасывает настройки после перезапуска","Аудио и видео","4146","531","6","3","3",""
"audio-video-veb-kamera-slow-response.mdx","keep","веб-камера: работает заметно медленнее обычного","Аудио и видео","4160","535","6","3","3",""
"audio-video-veb-kamera-update-loop.mdx","keep","веб-камера: застревает в цикле обновления","Аудио и видео","4158","537","6","3","3",""
"audio-video-zahvat-video-access-denied.mdx","keep","захват видео: показывает отказ в доступе","Аудио и видео","4154","541","6","3","3",""
"audio-video-zahvat-video-crash-on-open.mdx","keep","захват видео: падает при открытии файла или проекта","Аудио и видео","4150","540","6","3","3",""
"audio-video-zahvat-video-does-not-start.mdx","keep","захват видео: не запускается после обновления","Аудио и видео","4125","537","6","3","3",""
"audio-video-zahvat-video-settings-reset.mdx","keep","захват видео: сбрасывает настройки после перезапуска","Аудио и видео","4156","536","6","3","3",""
"audio-video-zahvat-video-slow-response.mdx","keep","захват видео: работает заметно медленнее обычного","Аудио и видео","4170","540","6","3","3",""
"audio-video-zahvat-video-update-loop.mdx","keep","захват видео: застревает в цикле обновления","Аудио и видео","4168","542","6","3","3",""
"bios-bios-nvme-072.mdx","keep","BIOS: не видит NVMe — как исправить","BIOS и UEFI","4232","541","7","4","2",""
