"action","score","file","title","category","bodyLines","bodyChars","steps","avgStepBodyChars","sources","generatedBatch","issues"
"изменить","52","src/content/errors/linux-obsluzhivanie-i-obnovlenie-yadra-linux-v-debian-podobnyh-sistemah-dlya-predotvrascheniya-o.mdx","Обслуживание и обновление ядра Linux в Debian-подобных системах для предотвращения ошибок","Linux","8","1341","6","261","4","no","body has only 8 non-empty lines; body has only 1341 characters; sources come from one host only"
"изменить","52","src/content/errors/linux-ubuntu-boot-ram-diag-diagnostika-oshibok-zagruzki-ubuntu-proverka-operativnoi-pamyati.mdx","Диагностика ошибок загрузки Ubuntu: Проверка оперативной памяти","Linux","8","1260","6","262","4","no","body has only 8 non-empty lines; body has only 1260 characters; sources come from one host only"
"изменить","52","src/content/errors/linux-ubuntuupdatebootfailure-chto-delat-esli-ubuntu-ne-zagruzhaetsya-posle-obnovleniya-obzor-vo.mdx","Что делать, если Ubuntu не загружается после обновления: Обзор возможностей восстановления","Linux","8","1308","6","284","4","no","body has only 8 non-empty lines; body has only 1308 characters; sources come from one host only"
"изменить","52","src/content/errors/macos-app-damaged-can-t-be-opened-kak-ispravit-oshibku-prilozhenie-povrezhdeno-v-macos.mdx","Как исправить ошибку «Приложение повреждено» в macOS","macOS","8","1302","6","290","4","no","body has only 8 non-empty lines; body has only 1302 characters; sources come from one host only"
"изменить","52","src/content/errors/macos-mac-app-damaged-kak-ispravit-oshibku-prilozhenie-povrezhdeno-v-macos.mdx","Как исправить ошибку «Приложение повреждено» на macOS","macOS","8","1304","6","260","4","no","body has only 8 non-empty lines; body has only 1304 characters; sources come from one host only"
"изменить","52","src/content/errors/oborudovanie-opengl-outofvideomemory-kak-reshit-problemu-opengl-ne-hvataet-videopamyati.mdx","Как решить проблему «OpenGL: не хватает видеопамяти»","Оборудование","8","1262","6","260","4","no","body has only 8 non-empty lines; body has only 1262 characters; sources come from one host only"
"изменить","52","src/content/errors/televizor-samsung-ne-vklyuchaetsya-reshenie.mdx","Телевизор Samsung не включается: диагностика и ремонт","Телевизоры и аудио","8","1329","6","212","4","no","body has only 8 non-empty lines; body has only 1329 characters; sources come from one host only"
"изменить","52","src/content/errors/veb-razrabotka-dockerdesktop-startup-001-kak-ispravit-oshibku-docker-desktop-failed-to-start.mdx","Как исправить ошибку 'Docker Desktop failed to start'","Веб-разработка","8","1275","6","671","4","no","body has only 8 non-empty lines; body has only 1275 characters; sources come from one host only"
"изменить","52","src/content/errors/veb-razrabotka-nginx-common-errors-h2c-smuggling-ispravlenie-rasprostranennyh-oshibok-nginx-i-us.mdx","Исправление распространенных ошибок Nginx и устранение уязвимости H2C Smuggling","Веб-разработка","8","1327","6","466","4","no","body has only 8 non-empty lines; body has only 1327 characters; sources come from one host only"
"изменить","52","src/content/errors/veb-razrabotka-node-module-not-found-kak-ispravit-oshibku-node-js-module-not-found.mdx","Как исправить ошибку Node.js MODULE_NOT_FOUND","Веб-разработка","8","1259","6","263","4","no","body has only 8 non-empty lines; body has only 1259 characters; sources come from one host only"
"изменить","52","src/content/errors/veb-razrabotka-npm-eacces-kak-ispravit-oshibku-npm-err-eacces-otkazano-v-dostupe.mdx","Как исправить ошибку npm ERR! EACCES: Отказано в доступе","Веб-разработка","8","1261","6","516","4","no","body has only 8 non-empty lines; body has only 1261 characters; sources come from one host only"
"изменить","52","src/content/errors/veb-razrabotka-npm-err-enoent-ispravlenie-oshibki-npm-err-enoent-file-not-found.mdx","Исправление ошибки npm ERR! ENOENT: file not found","Веб-разработка","8","1253","6","607","4","no","body has only 8 non-empty lines; body has only 1253 characters; sources come from one host only"
"изменить","52","src/content/errors/veb-razrabotka-pip-install-failed-generic-ispravlenie-oshibok-pri-ustanovke-paketov-python-s-pom.mdx","Исправление ошибок при установке пакетов Python с помощью pip","Веб-разработка","8","1291","6","273","4","no","body has only 8 non-empty lines; body has only 1291 characters; sources come from one host only"
"изменить","52","src/content/errors/veb-razrabotka-visualc-redistributableerror-kak-ispravit-oshibku-visual-c-redistributable.mdx","Как исправить ошибку Visual C++ Redistributable","Веб-разработка","8","1263","6","787","4","no","body has only 8 non-empty lines; body has only 1263 characters; sources come from one host only"
"изменить","52","src/content/errors/windows-0xc0000005-kak-ispravit-oshibku-0xc0000005-access-violation-v-windows.mdx","Как исправить ошибку 0xC0000005 (Access Violation) в Windows","Windows","8","1303","6","301","4","no","body has only 8 non-empty lines; body has only 1303 characters; sources come from one host only"
"изменить","52","src/content/errors/windows-bsod-windows-10-kak-ispravit-oshibku-sinii-ekran-smerti-bsod-v-windows-10.mdx","Как исправить ошибку «Синий экран смерти» (BSOD) в Windows 10","Windows","8","1305","6","388","4","no","body has only 8 non-empty lines; body has only 1305 characters; sources come from one host only"
"изменить","52","src/content/errors/windows-critical-process-died-ispravlenie-kriticheskoi-oshibki-critical-process-died-v-windows.mdx","Как исправить ошибку 'CRITICAL PROCESS DIED' в Windows","Windows","8","1291","8","391","4","no","body has only 8 non-empty lines; body has only 1291 characters; sources come from one host only"
